,job,female_ratio
0,skincare specialist,98.2
1,kindergarten teacher,96.8
4,childcare worker,94.6
2,secretary,92.5
5,hairstylist,92.4
3,dental assistant,92.0
6,nurse,91.3
7,school psychologist,90.4
8,receptionist,90.0
9,vet,89.8
10,nutritionist,89.6
11,maid,88.7
12,therapist,87.1
13,social worker,86.8
14,sewer,86.5
15,paralegal,84.8
16,library assistant,84.2
17,interior designer,83.8
18,manicurist,83.0
19,special education teacher,82.8
39,police officer,15.8
38,taxi driver,12.0
37,computer architect,11.8
36,mechanical engineer,9.4
35,truck driver,7.9
34,electrical engineer,7.0
33,landscaping worker,6.2
32,pilot,5.3
30,repair worker,5.1
31,firefighter,5.1
29,construction worker,4.2
28,machinist,3.4
27,aircraft mechanic,3.2
26,carpenter,3.1
25,roofer,2.9
24,brickmason,2.2
23,plumber,2.1
20,electrician,1.7
22,vehicle technician,1.2
21,crane operator,1.1
