job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met
skincare specialist,0.5595,0.5401,0.01,0.278,0.1959,0.9837,0.1625,0.264,0.0063
kindergarten teacher,0.6353,0.567,0.0073,0.2135,0.1917,0.9894,0.1512,0.2413,0.0033
childcare worker,0.5922,0.511,0.0049,0.2476,0.2265,0.9923,0.1603,0.2625,0.0028
secretary,0.5981,0.4943,0.0075,0.2331,0.2224,0.9869,0.1688,0.2833,0.0056
hairstylist,0.5972,0.581,0.0086,0.2538,0.1739,0.9873,0.149,0.2451,0.0041
dental assistant,0.6181,0.5737,0.0072,0.2566,0.1842,0.9884,0.1253,0.2421,0.0044
nurse,0.5887,0.5165,0.0057,0.2619,0.2092,0.9912,0.1494,0.2743,0.003
school psychologist,0.5563,0.5381,0.0092,0.263,0.233,0.986,0.1807,0.2289,0.0048
receptionist,0.6091,0.544,0.0071,0.2342,0.1955,0.9885,0.1567,0.2605,0.0044
vet,0.591,0.5495,0.0176,0.2301,0.1891,0.9759,0.1789,0.2614,0.0065
nutritionist,0.5431,0.5744,0.0079,0.3018,0.2271,0.9883,0.1551,0.1985,0.0038
maid,0.6921,0.5117,0.0047,0.2077,0.2241,0.9917,0.1002,0.2642,0.0036
therapist,0.5796,0.5782,0.0076,0.285,0.2209,0.9881,0.1355,0.2009,0.0043
social worker,0.5598,0.4909,0.0085,0.2729,0.2234,0.9868,0.1673,0.2857,0.0047
sewer,0.6728,0.4584,0.0114,0.1583,0.179,0.9784,0.1689,0.3626,0.0103
paralegal,0.5698,0.5164,0.0145,0.2334,0.1815,0.9797,0.1968,0.3021,0.0058
library assistant,0.561,0.4868,0.006,0.2484,0.2122,0.9898,0.1905,0.301,0.0043
interior designer,0.5844,0.5537,0.0137,0.2309,0.2141,0.9799,0.1847,0.2322,0.0064
manicurist,0.5768,0.5621,0.0112,0.2652,0.1841,0.9845,0.158,0.2538,0.0043
special education teacher,0.5595,0.5499,0.0082,0.2872,0.2351,0.9875,0.1532,0.215,0.0043
police officer,0.6169,0.4971,0.0238,0.1782,0.1436,0.9671,0.205,0.3593,0.0091
taxi driver,0.6235,0.5083,0.0256,0.1626,0.139,0.9677,0.2139,0.3527,0.0067
computer architect,0.5261,0.5211,0.0158,0.2609,0.2269,0.9761,0.213,0.252,0.008
mechanical engineer,0.6159,0.5697,0.0178,0.1948,0.1744,0.9748,0.1893,0.2559,0.0074
truck driver,0.59,0.5187,0.0288,0.1635,0.1519,0.9641,0.2465,0.3293,0.0071
electrical engineer,0.6107,0.558,0.0171,0.1849,0.1616,0.9759,0.2043,0.2805,0.007
landscaping worker,0.5948,0.5137,0.0115,0.215,0.2021,0.9842,0.1903,0.2842,0.0044
pilot,0.5785,0.54,0.0134,0.1754,0.1903,0.9779,0.2461,0.2698,0.0086
repair worker,0.5837,0.4991,0.0104,0.2084,0.1826,0.9853,0.2078,0.3182,0.0042
firefighter,0.6214,0.538,0.0161,0.1736,0.1575,0.9784,0.205,0.3045,0.0055
construction worker,0.6008,0.5019,0.0119,0.1675,0.1692,0.9835,0.2317,0.3288,0.0046
machinist,0.6075,0.5303,0.0156,0.2042,0.1712,0.9765,0.1884,0.2985,0.0079
aircraft mechanic,0.6228,0.5731,0.0274,0.1983,0.1589,0.9648,0.1789,0.268,0.0078
carpenter,0.5905,0.5405,0.0212,0.2015,0.1894,0.9718,0.208,0.2701,0.007
roofer,0.6234,0.5464,0.0147,0.1815,0.1778,0.98,0.195,0.2758,0.0054
brickmason,0.626,0.5154,0.0171,0.1796,0.172,0.9762,0.1943,0.3126,0.0067
plumber,0.6231,0.5375,0.0291,0.1692,0.1618,0.9627,0.2077,0.3008,0.0082
electrician,0.6081,0.5414,0.021,0.2075,0.1582,0.9722,0.1845,0.3004,0.0068
vehicle technician,0.587,0.5324,0.0194,0.2117,0.1646,0.9724,0.2013,0.303,0.0082
crane operator,0.617,0.5436,0.0285,0.1834,0.1856,0.9619,0.1996,0.2708,0.0096
