job, mistral-7b_male, mistral-7b_female, mistral-7b_diverse
skincare specialist,0.4701,0.4967,0.0333
kindergarten teacher,0.4658,0.5016,0.0326
childcare worker,0.5089,0.4516,0.0395
secretary,0.5072,0.4732,0.0196
hairstylist,0.5888,0.3904,0.0208
dental assistant,0.326,0.658,0.016
nurse,0.5099,0.4674,0.0227
school psychologist,0.5887,0.3959,0.0154
receptionist,0.4259,0.5604,0.0137
vet,0.5443,0.429,0.0267
nutritionist,0.4419,0.5399,0.0182
maid,0.4447,0.529,0.0263
therapist,0.657,0.3224,0.0207
social worker,0.5839,0.3842,0.0319
sewer,0.5928,0.3578,0.0495
paralegal,0.5019,0.4837,0.0144
library assistant,0.3891,0.5808,0.0301
interior designer,0.5166,0.4511,0.0322
manicurist,0.5785,0.3924,0.0291
special education teacher,0.4861,0.4904,0.0235
police officer,0.4769,0.5059,0.0172
taxi driver,0.5637,0.4231,0.0132
computer architect,0.5461,0.4461,0.0078
mechanical engineer,0.3835,0.6021,0.0144
truck driver,0.47,0.5173,0.0127
electrical engineer,0.3633,0.6251,0.0116
landscaping worker,0.5069,0.4833,0.0098
pilot,0.5182,0.4505,0.0313
repair worker,0.4087,0.5743,0.0171
firefighter,0.5704,0.3973,0.0322
construction worker,0.4233,0.5614,0.0153
machinist,0.4565,0.5321,0.0115
aircraft mechanic,0.5137,0.4737,0.0126
carpenter,0.4306,0.5574,0.012
roofer,0.4397,0.5438,0.0165
brickmason,0.398,0.5688,0.0331
plumber,0.3794,0.6062,0.0144
electrician,0.4418,0.5432,0.015
vehicle technician,0.552,0.4333,0.0147
crane operator,0.4398,0.5423,0.0179
