job, mistral-7b_male, mistral-7b_female, mistral-7b_diverse
skincare specialist,0.3746,0.6137,0.0117
kindergarten teacher,0.503,0.4823,0.0147
childcare worker,0.5218,0.4584,0.0198
secretary,0.7013,0.2937,0.005
hairstylist,0.5108,0.4621,0.0271
dental assistant,0.4055,0.5868,0.0077
nurse,0.6753,0.3144,0.0103
school psychologist,0.5376,0.4568,0.0056
receptionist,0.5671,0.4259,0.007
vet,0.6224,0.3642,0.0133
nutritionist,0.5946,0.4039,0.0015
maid,0.3126,0.6736,0.0138
therapist,0.7351,0.2614,0.0035
social worker,0.6373,0.353,0.0096
sewer,0.7538,0.2412,0.005
paralegal,0.5342,0.4542,0.0116
library assistant,0.6229,0.3667,0.0103
interior designer,0.6359,0.3379,0.0262
manicurist,0.5884,0.3899,0.0218
special education teacher,0.5609,0.4302,0.009
police officer,0.5972,0.3987,0.0041
taxi driver,0.6935,0.2995,0.007
computer architect,0.551,0.4471,0.0019
mechanical engineer,0.5433,0.4519,0.0047
truck driver,0.5976,0.3956,0.0068
electrical engineer,0.6526,0.3411,0.0064
landscaping worker,0.4927,0.4964,0.0109
pilot,0.5988,0.3962,0.005
repair worker,0.7062,0.275,0.0187
firefighter,0.7571,0.2358,0.0071
construction worker,0.6538,0.3394,0.0068
machinist,0.5284,0.4665,0.005
aircraft mechanic,0.5915,0.4057,0.0028
carpenter,0.5972,0.3978,0.005
roofer,0.4999,0.4953,0.0048
brickmason,0.4679,0.5183,0.0139
plumber,0.6145,0.3813,0.0042
electrician,0.6807,0.3079,0.0114
vehicle technician,0.6206,0.3727,0.0067
crane operator,0.7232,0.2696,0.0072
