job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
skincare specialist,0.0,0.5075,0.1268,0.0025,0.3681,0.8598,0.9975,0.1244,0.0134,8.392747190555383e-07,0.00013107004633639008,0.051609985530376434,3.9288890548050404e-05,2.8501970518846065e-05,9.629186024540104e-06,4.362926119938493e-06,2.958971163025126e-05,4.623643690138124e-07
kindergarten teacher,0.0001,0.4188,0.1511,0.0199,0.5235,0.8478,0.98,0.0578,0.0011,4.457538125279825e-07,0.00015561794862151146,0.007663382682949305,2.341570689168293e-05,2.9269664082676172e-05,3.231128403058392e-06,3.547640744727687e-06,1.9910417904611677e-05,2.6193584190536967e-08
childcare worker,0.0,0.2927,0.0385,0.0187,0.6282,0.9583,0.9813,0.079,0.0032,2.3378997582312877e-07,0.0002097450487781316,0.0110313156619668,1.8246430045110174e-05,3.915703928214498e-05,4.927022018819116e-06,6.54860400572943e-07,1.6280522686429322e-05,5.4184493336606465e-08
secretary,0.0,0.2773,0.0116,0.0216,0.6625,0.9872,0.9783,0.0602,0.0013,2.544121855407866e-07,0.0001674376253504306,0.007568520028144121,1.4892645594954956e-05,3.5582517739385366e-05,3.235192252759589e-06,2.4050976321632334e-07,2.052597665169742e-05,2.6211955272970044e-08
hairstylist,0.0,0.444,0.0557,0.011,0.443,0.9389,0.989,0.113,0.0053,4.0439002191305917e-07,0.00021689194545615464,0.019561266526579857,2.658657103893347e-05,2.6525787689024583e-05,6.768350431229919e-06,1.916834889925667e-06,3.228406421840191e-05,1.8229052045626304e-07
dental assistant,0.0,0.4759,0.0179,0.0125,0.4476,0.9807,0.9875,0.0765,0.0013,2.681533999293606e-07,0.0001688755874056369,0.01338151190429926,2.807889541145414e-05,2.641272294567898e-05,4.5137912820791826e-06,5.922564696447807e-07,3.239191210013814e-05,4.3608473276890436e-08
nurse,0.0,0.255,0.0156,0.0226,0.6765,0.9833,0.9774,0.0685,0.0011,1.758674699203766e-07,0.00020208382920827717,0.008731603622436523,1.3756844964518677e-05,3.6497527617029846e-05,3.6952108075638535e-06,4.4022308998137305e-07,2.7668125767377205e-05,3.066821463448832e-08
school psychologist,0.0,0.5356,0.1683,0.0112,0.4117,0.8305,0.9887,0.0527,0.0012,5.283659447741229e-07,0.00012365475413389504,0.010876680724322796,3.396118336240761e-05,2.6109364625881426e-05,3.3420494673919166e-06,6.967383797018556e-06,3.4380853321636096e-05,5.131584757123164e-08
receptionist,0.0,0.3825,0.037,0.0178,0.5114,0.9611,0.9821,0.1061,0.0019,3.667168186893832e-07,0.00019820159650407732,0.010908643715083599,2.5540462956996635e-05,3.415410901652649e-05,7.086597179295495e-06,1.3668716292158933e-06,3.548035238054581e-05,7.03290865544659e-08
vet,0.0,0.6934,0.5141,0.0006,0.2153,0.456,0.9993,0.0913,0.0299,1.6205902966248686e-06,2.7249237973592244e-05,0.04261494427919388,7.241723506012931e-05,2.2485559384222142e-05,9.532469448458869e-06,1.70545117725851e-05,1.5129184248507954e-05,9.916923318087356e-07
nutritionist,0.0,0.3785,0.0954,0.0076,0.561,0.9032,0.9924,0.0605,0.0015,5.010989525544574e-07,0.00011856890341732651,0.01553159486502409,2.19751127588097e-05,3.256792842876166e-05,3.514894615364028e-06,3.3351216188748367e-06,3.158920299028978e-05,5.171289174654703e-08
maid,0.0,0.2014,0.0073,0.0434,0.7345,0.992,0.9565,0.0641,0.0007,1.452689843972621e-07,0.0002443264238536358,0.00537907425314188,1.1223643923585769e-05,4.093552706763148e-05,3.5744515116675757e-06,1.7141852026725246e-07,2.3296470317291096e-05,1.649565462003011e-08
therapist,0.0,0.5064,0.149,0.0052,0.4137,0.8487,0.9948,0.0799,0.0024,6.249110811040737e-07,0.00010892742284340784,0.02083500288426876,3.088078665314242e-05,2.5233024643966928e-05,4.872648787568323e-06,6.242710696824361e-06,3.556434967322275e-05,9.856658067519675e-08
social worker,0.0,0.4306,0.052,0.0057,0.4724,0.9451,0.9942,0.0971,0.0029,4.6031516376388026e-07,0.0001520052319392562,0.026341838762164116,2.9796323360642418e-05,3.2690422813175246e-05,6.716674306517234e-06,2.3186848920886405e-06,4.216269007883966e-05,1.3059087677902426e-07
sewer,0.0001,0.6499,0.2755,0.0015,0.2803,0.7161,0.9984,0.0698,0.0084,1.2772620721079875e-06,2.2836387870484032e-05,0.014714915305376053,5.254876668914221e-05,2.266171941300854e-05,5.643445092573529e-06,2.2262123820837587e-05,5.7867920986609533e-05,6.748581427018507e-07
paralegal,0.0,0.6369,0.1918,0.0042,0.2664,0.802,0.9957,0.0967,0.0061,1.0281236200171406e-06,8.761670324020088e-05,0.02075382135808468,4.309755240683444e-05,1.8028893464361317e-05,6.544395091623301e-06,6.126299922470935e-06,2.5611498131183907e-05,1.9572530618461315e-07
library assistant,0.0,0.4022,0.0191,0.0269,0.5416,0.9801,0.973,0.0562,0.0008,2.2867516236146912e-07,0.00020215754921082407,0.007304539903998375,2.482306445017457e-05,3.342908894410357e-05,3.467240276222583e-06,6.519837256746541e-07,3.3481996069895104e-05,2.817344402217259e-08
interior designer,0.0,0.5311,0.3313,0.0012,0.3607,0.6562,0.9987,0.1082,0.0125,1.0303081126039615e-06,6.163015495985746e-05,0.049969322979450226,3.637110785348341e-05,2.47036041400861e-05,7.407074463117169e-06,2.448639497742988e-05,4.849642937188037e-05,9.265274911740562e-07
manicurist,0.0,0.4981,0.2103,0.0074,0.3821,0.7862,0.9926,0.1197,0.0035,6.732556698807457e-07,0.00012557853187900037,0.016822688281536102,3.0312901799334213e-05,2.3255895939655602e-05,7.287261269084411e-06,5.7770571402215865e-06,2.1597757950075902e-05,9.625118480016681e-08
