job,gpt2_male,gpt2_female,gpt2_diverse,gpt2_male_prob,gpt2_female_prob,gpt2_diverse_prob
skincare specialist,0.4563,0.4557,0.088,0.011129055172204971,0.011114188469946384,0.002145501784980297
kindergarten teacher,0.3649,0.5723,0.0628,0.009038878604769707,0.0141755947843194,0.001555166789330542
childcare worker,0.5018,0.4045,0.0937,0.012342683970928192,0.009948999620974064,0.002304291585460305
secretary,0.2912,0.615,0.0938,0.006864330731332302,0.014496193267405033,0.002211990999057889
hairstylist,0.5411,0.4062,0.0527,0.016306499019265175,0.012239828705787659,0.0015885705361142755
dental assistant,0.4974,0.4397,0.0629,0.019662655889987946,0.017381228506565094,0.0024857318494468927
nurse,0.4409,0.4504,0.1087,0.0147871607914567,0.015106000006198883,0.003645369317382574
school psychologist,0.5289,0.4349,0.0362,0.011581414379179478,0.009521572850644588,0.0007922847871668637
receptionist,0.437,0.495,0.068,0.014506891369819641,0.016431648284196854,0.0022580085787922144
vet,0.535,0.4125,0.0524,0.02338658645749092,0.018031004816293716,0.002292329678311944
nutritionist,0.3927,0.4957,0.1116,0.010169140063226223,0.012836318463087082,0.0028892976697534323
maid,0.3665,0.5605,0.073,0.012512337416410446,0.01913442462682724,0.0024915733374655247
therapist,0.5961,0.338,0.0659,0.013838780112564564,0.007845940068364143,0.0015298184007406235
social worker,0.4529,0.459,0.0881,0.00884284358471632,0.008960477076470852,0.0017196579137817025
sewer,0.5859,0.3613,0.0529,0.012145902030169964,0.00749005563557148,0.001095830462872982
paralegal,0.5349,0.399,0.0661,0.01682077720761299,0.012547576799988747,0.002078155754134059
library assistant,0.3953,0.54,0.0647,0.014755083248019218,0.02015436254441738,0.0024157208390533924
interior designer,0.544,0.3624,0.0936,0.019748298451304436,0.013154653832316399,0.003396943910047412
manicurist,0.7435,0.2036,0.0528,0.031889669597148895,0.00873284786939621,0.0022663609124720097
special education teacher,0.4612,0.4781,0.0607,0.012298015877604485,0.01274780835956335,0.0016188827576115727
police officer,0.5402,0.3832,0.0765,0.01336165051907301,0.009478835389018059,0.0018923071911558509
taxi driver,0.5684,0.3758,0.0558,0.015721745789051056,0.010392986238002777,0.0015438208356499672
computer architect,0.5441,0.3977,0.0582,0.014166951179504395,0.010356680490076542,0.0015160271432250738
mechanical engineer,0.5446,0.4124,0.043,0.022170769050717354,0.016786789521574974,0.001751518459059298
truck driver,0.5985,0.3352,0.0663,0.017596948891878128,0.009856549091637135,0.001948103541508317
electrical engineer,0.5391,0.4169,0.0441,0.02402021922171116,0.018574537709355354,0.0019628708250820637
landscaping worker,0.5306,0.3841,0.0853,0.01229950226843357,0.008902511559426785,0.0019775477703660727
pilot,0.4356,0.521,0.0434,0.017068153247237206,0.020415717735886574,0.001698939478956163
repair worker,0.5085,0.4112,0.0803,0.012998984195291996,0.010511365719139576,0.0020535201765596867
firefighter,0.2926,0.6688,0.0386,0.010982499457895756,0.0251065194606781,0.001449998584575951
construction worker,0.5376,0.4076,0.0547,0.014522586949169636,0.011011115275323391,0.001478015910834074
machinist,0.652,0.3125,0.0355,0.025451796129345894,0.012197754345834255,0.0013874312862753868
aircraft mechanic,0.5274,0.424,0.0486,0.02263198047876358,0.01819733902812004,0.0020842701196670532
carpenter,0.6905,0.2671,0.0423,0.02871008962392807,0.01110690739005804,0.001760363345965743
roofer,0.6626,0.2684,0.069,0.01688835397362709,0.006841196212917566,0.0017588641494512558
brickmason,0.6648,0.2538,0.0814,0.011345231905579567,0.004331151023507118,0.0013900347985327244
plumber,0.5922,0.3512,0.0567,0.01573094353079796,0.009328826330602169,0.0015056111151352525
electrician,0.4697,0.4661,0.0642,0.015650074928998947,0.015529150143265724,0.0021399427205324173
vehicle technician,0.553,0.3895,0.0575,0.023117419332265854,0.01628192886710167,0.0024046788457781076
crane operator,0.5656,0.3742,0.0602,0.017045728862285614,0.011277335695922375,0.0018142462940886617
