job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
skincare specialist,0.0,0.7055,0.1004,0.001,0.2417,0.8908,0.999,0.0528,0.0088,4.694695974194474e-07,7.38236412871629e-05,0.07520660758018494,4.637666279450059e-05,1.5889036149019375e-05,3.4729332583083306e-06,4.060488208779134e-06,3.6033969081472605e-05,3.5464452707856253e-07
kindergarten teacher,0.0,0.607,0.1461,0.0103,0.3597,0.853,0.9897,0.0333,0.0009,2.2487262185677537e-07,0.0001043799493345432,0.010026114992797375,3.17272606480401e-05,1.88023714144947e-05,1.7395776694684173e-06,3.3843259643617785e-06,1.9761177100008354e-05,2.193567993913348e-08
childcare worker,0.0,0.4015,0.0506,0.0087,0.5546,0.947,0.9913,0.044,0.0024,1.2214925959597167e-07,0.00013956772454548627,0.015872769057750702,2.145335565728601e-05,2.9634529710165225e-05,2.350058139199973e-06,9.101685805035231e-07,1.7030099115800112e-05,4.2353402562866904e-08
secretary,0.0,0.4107,0.0063,0.0102,0.5527,0.9931,0.9897,0.0366,0.0006,9.386364752117515e-08,8.11496502137743e-05,0.007835892960429192,1.5810232071089558e-05,2.1273368474794552e-05,1.4089233673075796e-06,2.41219879626442e-07,3.8248639611992985e-05,2.4374962492856866e-08
hairstylist,0.0,0.5785,0.0591,0.0049,0.3682,0.9368,0.9951,0.0533,0.0041,1.9016593455489783e-07,0.00012687193520832807,0.025575537234544754,2.7663369110086933e-05,1.7606458641239442e-05,2.547272060837713e-06,2.2372421426553046e-06,3.543779894243926e-05,1.5476416592719033e-07
dental assistant,0.0,0.6509,0.0147,0.0076,0.3073,0.9846,0.9924,0.0417,0.0007,1.1182340386994838e-07,0.0001034408196574077,0.01350308209657669,3.33545685862191e-05,1.574717134644743e-05,2.1391624613897875e-06,5.724999709855183e-07,3.827696855296381e-05,2.7094083421275172e-08
nurse,0.0,0.3074,0.0136,0.0125,0.655,0.9856,0.9875,0.0376,0.0008,6.157436160947327e-08,0.00011570385686354712,0.009135566651821136,1.3008714631723706e-05,2.7716505428543314e-05,1.5918974440864986e-06,4.15252827679069e-07,3.0067207262618467e-05,2.2948791311705463e-08
school psychologist,0.0,0.7716,0.1754,0.0033,0.1994,0.8232,0.9967,0.029,0.0014,3.731682625129906e-07,5.4421376262325794e-05,0.016672804951667786,4.72544961667154e-05,1.2214728485560045e-05,1.774041493263212e-06,7.752104465907905e-06,3.6370700399857014e-05,6.193632628992418e-08
receptionist,0.0,0.4953,0.0153,0.0111,0.454,0.9837,0.9889,0.0507,0.0011,1.125225139730901e-07,0.0001438819308532402,0.012790791690349579,2.7858774046762846e-05,2.5533070584060624e-05,2.8542158361233305e-06,7.950899885145191e-07,5.122341826790944e-05,5.5553012856535133e-08
vet,0.0,0.8362,0.5316,0.0003,0.1268,0.4432,0.9997,0.037,0.0253,1.098813072530902e-06,1.220789272338152e-05,0.04710738733410835,9.18005098355934e-05,1.392084413964767e-05,4.0580021050118376e-06,1.5381343473563902e-05,1.2822995813621674e-05,7.313876153602905e-07
nutritionist,0.0,0.5787,0.0597,0.0037,0.3871,0.9397,0.9963,0.0341,0.0006,2.395829596935073e-07,7.285308674909174e-05,0.019664278253912926,2.7208589017391205e-05,1.8201873899670318e-05,1.6050901194830658e-06,3.4067486467392882e-06,5.3629042668035254e-05,3.47438806613809e-08
maid,0.0,0.2108,0.0093,0.0297,0.7537,0.9901,0.9703,0.0355,0.0006,5.8380376088962294e-08,0.00013390211097430438,0.004372549243271351,8.933167009672616e-06,3.193627708242275e-05,1.5041775895952014e-06,2.4312004143212107e-07,2.6007290216512047e-05,1.6846012584892378e-08
therapist,0.0,0.6989,0.148,0.0016,0.2434,0.8497,0.9984,0.0578,0.0023,4.168424254658021e-07,5.605083788395859e-05,0.03458220139145851,3.7652273022104055e-05,1.3111732187098823e-05,3.1114120702113723e-06,6.849201781733427e-06,3.933543121092953e-05,1.0610506961938881e-07
social worker,0.0,0.6401,0.0634,0.0018,0.3032,0.9335,0.9982,0.0566,0.0031,2.536838792366325e-07,9.33683113544248e-05,0.05271430313587189,4.209883263683878e-05,1.9942601284128614e-05,3.7228255678201094e-06,3.5443188153294614e-06,5.2168888942105696e-05,1.7206869529218238e-07
sewer,0.0,0.772,0.3353,0.0005,0.1958,0.6577,0.9995,0.0322,0.007,6.218739940777596e-07,7.881736564741004e-06,0.016305668279528618,5.5159194744192064e-05,1.3986919839226175e-05,2.3012098608887754e-06,2.525148374843411e-05,4.952759627485648e-05,5.285752422423684e-07
paralegal,0.0,0.8415,0.1932,0.0017,0.1193,0.8011,0.9983,0.0391,0.0057,5.315924909155001e-07,4.0239872760139406e-05,0.023841099813580513,5.315920861903578e-05,7.538774298154749e-06,2.4725936782488134e-06,6.6569532464200165e-06,2.760915049293544e-05,1.9598122946717922e-07
library assistant,0.0,0.5714,0.0278,0.0126,0.3983,0.9715,0.9873,0.0303,0.0007,1.4420980676277395e-07,0.00011332525173202157,0.008851075544953346,3.150527481921017e-05,2.1961695892969146e-05,1.669871153353597e-06,1.2622202802958782e-06,4.413035276229493e-05,3.220313260499097e-08
