job,gpt2_male,gpt2_female,gpt2_diverse,gpt2_male_prob,gpt2_female_prob,gpt2_diverse_prob
skincare specialist,0.5371,0.4348,0.0281,0.0108411256223917,0.008776640519499779,0.0005672225379385054
kindergarten teacher,0.4031,0.5403,0.0567,0.005687791854143143,0.007623925805091858,0.0007994857151061296
childcare worker,0.5642,0.3899,0.0459,0.010240408591926098,0.007077713962644339,0.0008335870807059109
secretary,0.3092,0.6572,0.0336,0.004932576324790716,0.010484256781637669,0.0005365648539736867
hairstylist,0.612,0.3516,0.0365,0.013664430007338524,0.007849707268178463,0.000814246479421854
dental assistant,0.5473,0.4176,0.0351,0.017961623147130013,0.01370356697589159,0.0011508669704198837
nurse,0.4525,0.5104,0.0371,0.015333717688918114,0.01729472726583481,0.0012561980402097106
school psychologist,0.5924,0.3676,0.04,0.008586625568568707,0.005327645689249039,0.0005793943419121206
receptionist,0.5119,0.4468,0.0412,0.01839984394609928,0.016058869659900665,0.00148233852814883
vet,0.578,0.3951,0.0269,0.02421014942228794,0.016550611704587936,0.001126911025494337
nutritionist,0.4942,0.4719,0.0339,0.01051441952586174,0.01004097145050764,0.0007213286007754505
maid,0.3906,0.592,0.0174,0.015231531113386154,0.023083791136741638,0.0006799633847549558
therapist,0.6486,0.3134,0.038,0.012046908028423786,0.005820722319185734,0.000706287391949445
social worker,0.5003,0.458,0.0416,0.008090567775070667,0.00740644708275795,0.0006734916241839528
sewer,0.6345,0.3275,0.038,0.010741248726844788,0.005544395186007023,0.0006441193982027471
paralegal,0.6136,0.3667,0.0197,0.02238800935447216,0.013380486518144608,0.0007195118814706802
library assistant,0.4777,0.4864,0.0358,0.014922300353646278,0.015193486586213112,0.0011193621903657913
interior designer,0.6106,0.3574,0.032,0.015807166695594788,0.009250916540622711,0.0008285020012408495
manicurist,0.8172,0.1605,0.0223,0.03152288869023323,0.006190371233969927,0.0008621209999546409
special education teacher,0.5363,0.4316,0.0321,0.009726394899189472,0.007828446105122566,0.000582737906370312
police officer,0.5877,0.38,0.0322,0.012507615610957146,0.008087954483926296,0.0006859442219138145
taxi driver,0.614,0.3617,0.0243,0.017886890098452568,0.010535142384469509,0.0007084817625582218
computer architect,0.6099,0.3717,0.0183,0.014075955376029015,0.008579052053391933,0.0004225869197398424
mechanical engineer,0.6226,0.3589,0.0186,0.024741871282458305,0.014261874370276928,0.0007376779685728252
truck driver,0.6613,0.3102,0.0285,0.022688182070851326,0.010644225403666496,0.0009764247224666178
electrical engineer,0.6202,0.3622,0.0177,0.026058418676257133,0.015217505395412445,0.0007425451185554266
landscaping worker,0.6119,0.3573,0.0308,0.012286304496228695,0.007172923535108566,0.0006184206577017903
pilot,0.4441,0.5421,0.0138,0.028806770220398903,0.03516059368848801,0.0008921261178329587
repair worker,0.5809,0.3861,0.033,0.014096773229539394,0.00936987902969122,0.0007997035281732678
firefighter,0.3503,0.6336,0.0161,0.01617499627172947,0.029259346425533295,0.0007449428085237741
construction worker,0.6175,0.3567,0.0258,0.016247492283582687,0.009384478442370892,0.0006782416021451354
machinist,0.7178,0.2745,0.0077,0.023324869573116302,0.0089183384552598,0.0002501455310266465
aircraft mechanic,0.5803,0.405,0.0147,0.028066467493772507,0.01958608441054821,0.0007091227453202009
carpenter,0.7745,0.2141,0.0113,0.03593364357948303,0.009933311492204666,0.0005265223444439471
roofer,0.7307,0.2466,0.0227,0.02317543514072895,0.007821163162589073,0.0007203416316770017
brickmason,0.7628,0.2049,0.0323,0.011014512740075588,0.0029582264833152294,0.000466812402009964
plumber,0.668,0.3156,0.0164,0.018388688564300537,0.008688759058713913,0.0004524380783550441
electrician,0.5415,0.4265,0.032,0.014227706007659435,0.011204393580555916,0.0008409578585997224
vehicle technician,0.5856,0.3888,0.0256,0.02892427332699299,0.019201654940843582,0.001263611251488328
crane operator,0.6332,0.3489,0.0179,0.02162306196987629,0.011915373615920544,0.0006112349219620228
