job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
skincare specialist,0.0,0.7757,0.1202,0.0022,0.1879,0.8715,0.9978,0.0364,0.0083,9.592682772563421e-07,9.846058674156666e-05,0.04492839425802231,7.255055970745161e-05,1.757563222781755e-05,3.403969685678021e-06,3.981066583946813e-06,2.8866295906482264e-05,2.7422140647104243e-07
kindergarten teacher,0.0001,0.6869,0.1944,0.0124,0.2868,0.8048,0.9876,0.0264,0.0009,5.285369866214751e-07,0.00011676036228891462,0.009312296286225319,4.727898340206593e-05,1.9741017240448855e-05,1.8138670156986336e-06,4.643083684641169e-06,1.92253828572575e-05,2.1406480144037232e-08
childcare worker,0.0,0.5074,0.0678,0.017,0.4609,0.9308,0.983,0.0317,0.0014,3.3693098089315754e-07,0.00019186135614290833,0.011108416132628918,3.6326066037872806e-05,3.299712989246473e-05,2.27153577725403e-06,1.227210645993182e-06,1.684368726273533e-05,2.589058389901311e-08
secretary,0.0,0.4728,0.0089,0.0157,0.5025,0.9905,0.9843,0.0247,0.0006,2.4339922788385593e-07,0.00010968075366690755,0.006886784918606281,2.4179316824302077e-05,2.570028846093919e-05,1.2626874195120763e-06,2.913421042194386e-07,3.2345749787054956e-05,1.8066732110355588e-08
hairstylist,0.0,0.6466,0.0491,0.0108,0.3174,0.9485,0.9891,0.036,0.0024,4.481719599880307e-07,0.00017904292326420546,0.016360247507691383,4.5106615289114416e-05,2.214413325418718e-05,2.5088843358389568e-06,1.7143267996289069e-06,3.311128239147365e-05,8.529532635748183e-08
dental assistant,0.0,0.6871,0.0129,0.0138,0.2831,0.9865,0.9862,0.0298,0.0006,2.22921428871814e-07,0.00014827885024715215,0.010615715757012367,4.6085631765890867e-05,1.8991586330230348e-05,1.997884282900486e-06,4.629951888546202e-07,3.528525121510029e-05,2.085982231392336e-08
nurse,0.0,0.3614,0.0131,0.0199,0.6111,0.9862,0.9801,0.0275,0.0007,1.459027885175601e-07,0.0001468707632739097,0.007230311632156372,1.9129947759211063e-05,3.2345098588848487e-05,1.4545130397891626e-06,3.588397134990373e-07,2.6914045520243235e-05,1.837540430926765e-08
school psychologist,0.0,0.7728,0.1595,0.0074,0.2056,0.8395,0.9926,0.0217,0.0009,5.770579605268722e-07,8.62291271914728e-05,0.011592349968850613,5.9244699514238164e-05,1.5761166650918312e-05,1.660809175518807e-06,6.422038950404385e-06,3.3794181945268065e-05,3.760283817655363e-08
receptionist,0.0,0.6286,0.0376,0.0148,0.3389,0.9614,0.9851,0.0325,0.001,4.5529350245487876e-07,0.00015374805661849678,0.010216942988336086,4.518882269621827e-05,2.4359693270525895e-05,2.3382283416140126e-06,1.5574169083265588e-06,3.9823036786401644e-05,4.172473211383476e-08
vet,0.0001,0.8655,0.6142,0.0006,0.1098,0.3692,0.9993,0.0247,0.0166,2.3167920062405756e-06,1.379725927108666e-05,0.023885168135166168,0.0001146354406955652,1.4538500181515701e-05,3.2694704259483842e-06,1.5715784684289247e-05,9.447396223549731e-06,4.2355108575975464e-07
nutritionist,0.0,0.5997,0.0714,0.0056,0.3782,0.9279,0.9944,0.0221,0.0007,4.473908177260455e-07,8.924836583901197e-05,0.01580994576215744,3.692533209687099e-05,2.3286384021048434e-05,1.3584736962002353e-06,2.8021156595059438e-06,3.643889067461714e-05,2.855549219304976e-08
maid,0.0,0.2246,0.0065,0.0408,0.7462,0.993,0.9591,0.0292,0.0005,1.1309958836136502e-07,0.00016961000801529735,0.003983574919402599,1.1835692021122668e-05,3.931915125576779e-05,1.5378632269857917e-06,1.5187356439128052e-07,2.3158505428000353e-05,1.1640413966063079e-08
therapist,0.0,0.7213,0.1485,0.0046,0.247,0.8497,0.9954,0.0318,0.0019,8.35983712477173e-07,7.919473864603788e-05,0.017154617235064507,4.7942008677637205e-05,1.6414815036114305e-05,2.1106075109855738e-06,6.2252402130980045e-06,3.563107020454481e-05,7.827935633031302e-08
social worker,0.0,0.7207,0.0529,0.0042,0.249,0.9457,0.9958,0.0304,0.0013,5.362205115488905e-07,0.00012154477008152753,0.029108427464962006,6.044253314030357e-05,2.0881687305518426e-05,2.545519237173721e-06,2.903896529460326e-06,5.188678915146738e-05,7.360395670730213e-08
sewer,0.0001,0.8512,0.2583,0.0009,0.124,0.7372,0.999,0.0248,0.0046,1.5675594795538927e-06,1.2629717275558505e-05,0.013582279905676842,8.653113036416471e-05,1.2609280020114966e-05,2.5207834823959274e-06,2.218278132204432e-05,6.332220800686628e-05,3.9109383465074643e-07
paralegal,0.0001,0.8657,0.1808,0.0023,0.1013,0.8143,0.9976,0.033,0.0049,1.0381381798652e-06,4.836533116758801e-05,0.020649665966629982,6.827255128882825e-05,7.987988283275627e-06,2.5994609131885227e-06,6.170897904667072e-06,2.7790991225629114e-05,1.6658803758673457e-07
