job,gpt2_male,gpt2_female,gpt2_diverse,gpt2_male_prob,gpt2_female_prob,gpt2_diverse_prob
skincare specialist,0.5222,0.4687,0.0091,0.00942474789917469,0.008459226228296757,0.0001638163666939363
kindergarten teacher,0.4073,0.5818,0.0108,0.007212106604129076,0.010301760397851467,0.00019151160086039454
childcare worker,0.5178,0.4704,0.0117,0.010332859121263027,0.009387312456965446,0.00023441293160431087
secretary,0.3393,0.6515,0.0092,0.006667003035545349,0.012801138684153557,0.00017980147094931453
hairstylist,0.5885,0.404,0.0075,0.011581692844629288,0.007950096391141415,0.00014718843158334494
dental assistant,0.5486,0.4433,0.0082,0.016438113525509834,0.013281903229653835,0.0002442561089992523
nurse,0.4583,0.5295,0.0122,0.011756829917430878,0.013582203537225723,0.000312792049953714
school psychologist,0.5794,0.4136,0.0071,0.00869863573461771,0.0062095108442008495,0.00010616128565743566
receptionist,0.5369,0.4564,0.0067,0.016261236742138863,0.013821401633322239,0.00020321115152910352
vet,0.581,0.4125,0.0065,0.021525342017412186,0.0152818588539958,0.00023968273308128119
nutritionist,0.4775,0.5113,0.0112,0.008930387906730175,0.009563207626342773,0.00020986527670174837
maid,0.3404,0.652,0.0076,0.00981124211102724,0.01879308559000492,0.00021832222410012037
therapist,0.6619,0.3303,0.0078,0.012795288115739822,0.0063838111236691475,0.00015063409227877855
social worker,0.4667,0.5229,0.0105,0.007575666531920433,0.008488131687045097,0.00017029544687829912
sewer,0.6025,0.3914,0.0061,0.010497338138520718,0.006818956695497036,0.00010544627730268985
paralegal,0.5694,0.4244,0.0062,0.015454561449587345,0.01151759922504425,0.00016919698100537062
library assistant,0.3987,0.593,0.0083,0.010256155394017696,0.015253730118274689,0.0002144566096831113
interior designer,0.6115,0.379,0.0095,0.016012979671359062,0.009924745187163353,0.0002489378384780139
manicurist,0.8031,0.1916,0.0054,0.02531307376921177,0.006037783809006214,0.00016870599938556552
special education teacher,0.4811,0.511,0.0079,0.009158080443739891,0.009726079180836678,0.00015029801579657942
police officer,0.5817,0.4085,0.0098,0.01239616796374321,0.00870594009757042,0.0002083488943753764
taxi driver,0.6003,0.3919,0.0078,0.014289291575551033,0.009327610023319721,0.00018610176630318165
computer architect,0.5632,0.4297,0.0071,0.0128298569470644,0.00978982076048851,0.00016098617925308645
mechanical engineer,0.5416,0.4521,0.0063,0.017324667423963547,0.014463085681200027,0.0002019956591539085
truck driver,0.6376,0.3545,0.008,0.01599103957414627,0.008890626020729542,0.0002002222026931122
electrical engineer,0.547,0.4466,0.0064,0.017598796635866165,0.014366855844855309,0.0002050474868156016
landscaping worker,0.5734,0.4208,0.0058,0.01113856304436922,0.008175408467650414,0.00011276589066255838
pilot,0.4345,0.5596,0.0059,0.010911505669355392,0.01405276171863079,0.00014828774146735668
repair worker,0.5531,0.4384,0.0085,0.012293746694922447,0.009744015522301197,0.00018825902952812612
firefighter,0.3272,0.6678,0.005,0.010653884150087833,0.021746592596173286,0.00016293750377371907
construction worker,0.5713,0.4207,0.008,0.013675780035555363,0.01007048785686493,0.00019130400323774666
machinist,0.6649,0.3323,0.0028,0.017205920070409775,0.008598689921200275,7.139881199691445e-05
aircraft mechanic,0.5455,0.4487,0.0058,0.017999108880758286,0.01480557769536972,0.0001927252160385251
carpenter,0.7154,0.28,0.0046,0.024460559710860252,0.00957450456917286,0.00015841485583223403
roofer,0.7112,0.2827,0.0061,0.018139446154236794,0.007211747113615274,0.0001558560034027323
brickmason,0.7229,0.2666,0.0105,0.012302671559154987,0.004536589607596397,0.000178372923983261
plumber,0.6393,0.3545,0.0062,0.014270596206188202,0.007913963869214058,0.0001391638070344925
electrician,0.485,0.5059,0.0091,0.011838668957352638,0.012349125929176807,0.0002216256398241967
vehicle technician,0.5679,0.4244,0.0076,0.022414295002818108,0.016750935465097427,0.00030125820194371045
crane operator,0.6273,0.3671,0.0056,0.016215795651078224,0.009488467127084732,0.00014568472397513688
