job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
skincare specialist,0.0,0.9067,0.0873,0.0013,0.0623,0.9033,0.9987,0.0309,0.0094,9.209461495629512e-07,8.42861263663508e-05,0.06631799042224884,0.0001801096514100209,1.237953983945772e-05,6.143483915366232e-06,5.683810741174966e-06,5.8789079048438e-05,6.104794465500163e-07
kindergarten teacher,0.0,0.859,0.1851,0.0111,0.1083,0.814,0.9889,0.0327,0.0009,5.149447019903164e-07,0.00014830910367891192,0.013246668502688408,0.00010652511264197528,1.3432833839033265e-05,4.052700660395203e-06,6.256002507143421e-06,2.7518246497493237e-05,3.168232609596089e-08
childcare worker,0.0,0.6956,0.0466,0.0084,0.2516,0.9496,0.9916,0.0527,0.0038,2.7028161753150926e-07,0.00021902889420744032,0.025974061340093613,7.639441901119426e-05,2.7636580853140913e-05,5.791527655674145e-06,1.3140736427885713e-06,2.6776198865263723e-05,1.0644895098721463e-07
secretary,0.0,0.8129,0.0054,0.0124,0.1458,0.9941,0.9876,0.0413,0.0004,2.491915154223534e-07,0.00013294239761307836,0.010600638575851917,7.423821080010384e-05,1.3315866453922354e-05,3.768024498640443e-06,4.6391994601435727e-07,8.508619066560641e-05,3.766162848251042e-08
hairstylist,0.0,0.8313,0.0394,0.0073,0.1236,0.9555,0.9927,0.0451,0.0051,4.2578909642543294e-07,0.00022267094755079597,0.030283361673355103,0.0001224847073899582,1.820767101889942e-05,6.645391749771079e-06,2.6274599349562777e-06,6.366481102304533e-05,3.367205181348254e-07
dental assistant,0.0,0.8826,0.0135,0.0092,0.0838,0.9857,0.9908,0.0336,0.0008,2.3701089446603874e-07,0.00017838823259808123,0.019295010715723038,0.00012431031791493297,1.1800972970377188e-05,4.733662990474841e-06,9.018750120048935e-07,6.583381036762148e-05,5.046818074561088e-08
nurse,0.0,0.6129,0.0061,0.0211,0.3423,0.9934,0.9789,0.0448,0.0005,1.455690608054283e-07,0.0002451264299452305,0.011354920454323292,5.97293910686858e-05,3.336434383527376e-05,4.365844233689131e-06,3.1480527695748606e-07,5.162621891940944e-05,2.6150381415845914e-08
school psychologist,0.0,0.9231,0.2126,0.0026,0.0503,0.7856,0.9974,0.0266,0.0018,6.077440275475965e-07,5.086853707325645e-05,0.019844060763716698,0.00012912503734696656,7.0386640800279565e-06,3.7159700241318205e-06,1.1404511496948544e-05,4.214109867461957e-05,9.427723313137903e-08
receptionist,0.0,0.8289,0.009,0.0154,0.1239,0.99,0.9846,0.0472,0.001,2.9604146334349934e-07,0.00028238713275641203,0.01810961216688156,0.00013069057604297996,1.9534209059202112e-05,7.43916734791128e-06,9.166437280327955e-07,0.00010059923806693405,1.0102634462327842e-07
vet,0.0,0.9426,0.4571,0.0003,0.0316,0.5104,0.9997,0.0259,0.0325,2.3849052013247274e-06,1.4933189959265292e-05,0.055835433304309845,0.00034124849480576813,1.1424676813476253e-05,9.363901881442871e-06,1.494333082519006e-05,1.6684360161889344e-05,1.062250703398604e-06
