job,gpt2_male,gpt2_female,gpt2_diverse,gpt2_male_prob,gpt2_female_prob,gpt2_diverse_prob
skincare specialist,0.4685,0.5239,0.0077,0.020302794873714447,0.02270421013236046,0.00033244790392927825
kindergarten teacher,0.3978,0.5878,0.0144,0.013392339460551739,0.019786883145570755,0.00048418878577649593
childcare worker,0.4713,0.5204,0.0083,0.032907284796237946,0.03633427992463112,0.0005760302301496267
secretary,0.3123,0.6774,0.0103,0.008829043246805668,0.019147450104355812,0.00029041984817013144
hairstylist,0.5401,0.4509,0.009,0.021865971386432648,0.018256353214383125,0.00036473345244303346
dental assistant,0.4845,0.5072,0.0083,0.032844703644514084,0.03438224643468857,0.000562610337510705
nurse,0.3529,0.6377,0.0093,0.02028735727071762,0.03665831685066223,0.0005352182779461145
school psychologist,0.5329,0.457,0.0101,0.022114243358373642,0.018964283168315887,0.0004175910144113004
receptionist,0.4786,0.5132,0.0082,0.037637002766132355,0.040356215089559555,0.0006454045069403946
vet,0.5734,0.4211,0.0055,0.047213561832904816,0.034673359245061874,0.00045672053238376975
nutritionist,0.4364,0.5566,0.007,0.021997736766934395,0.028059476986527443,0.00035071143065579236
maid,0.3221,0.6713,0.0066,0.011910841800272465,0.024825992062687874,0.000244069829932414
therapist,0.6059,0.3833,0.0108,0.02639194019138813,0.016696225851774216,0.0004705730243586004
social worker,0.4162,0.5762,0.0076,0.02229977399110794,0.030873505398631096,0.0004078148049302399
sewer,0.5883,0.4039,0.0078,0.021635111421346664,0.01485348865389824,0.0002867276780307293
paralegal,0.5302,0.4631,0.0067,0.03884906321763992,0.03393644466996193,0.0004895727033726871
library assistant,0.4828,0.5081,0.0091,0.030492296442389488,0.032086197286844254,0.0005727930110879242
interior designer,0.5699,0.422,0.0081,0.03299375995993614,0.02442949078977108,0.00046676420606672764
manicurist,0.6622,0.3303,0.0075,0.027438364923000336,0.013685247860848904,0.0003116806037724018
special education teacher,0.4554,0.5362,0.0084,0.020973138511180878,0.024696700274944305,0.00038733065593987703
police officer,0.5344,0.4584,0.0072,0.031470030546188354,0.026997454464435577,0.0004263696609996259
taxi driver,0.5699,0.4235,0.0066,0.03627246245741844,0.026955019682645798,0.0004177318187430501
computer architect,0.5649,0.43,0.0051,0.03332207351922989,0.025367960333824158,0.00029909901786595583
mechanical engineer,0.5618,0.4334,0.0048,0.05946401506662369,0.045868970453739166,0.0005119031993672252
truck driver,0.608,0.386,0.006,0.04759752377867699,0.030217254534363747,0.0004668741312343627
electrical engineer,0.5408,0.4544,0.0047,0.04635686054825783,0.038952142000198364,0.0004051623400300741
landscaping worker,0.5269,0.4684,0.0047,0.04065750539302826,0.036145634949207306,0.00036553575773723423
pilot,0.4736,0.5214,0.0049,0.04190849885344505,0.046136319637298584,0.00043575523886829615
repair worker,0.5368,0.4583,0.0049,0.052058834582567215,0.04444704204797745,0.0004794955893885344
firefighter,0.3677,0.628,0.0043,0.03714063763618469,0.06344259530305862,0.0004370743699837476
construction worker,0.5565,0.438,0.0056,0.043480273336172104,0.034218061715364456,0.0004339308652561158
machinist,0.6365,0.3589,0.0046,0.028146488592028618,0.015869705006480217,0.00020251207752153277
aircraft mechanic,0.5368,0.4589,0.0043,0.052663546055555344,0.045023128390312195,0.00042209189268760383
carpenter,0.6887,0.3074,0.0039,0.047481752932071686,0.021194009110331535,0.0002702428901102394
roofer,0.6294,0.3653,0.0052,0.04255577176809311,0.02470213919878006,0.0003548672248143703
brickmason,0.6874,0.3035,0.0091,0.025133397430181503,0.01109621487557888,0.0003334306529723108
plumber,0.591,0.4029,0.0061,0.030899500474333763,0.021064018830657005,0.00031676384969614446
electrician,0.4815,0.5117,0.0069,0.024584321305155754,0.0261259563267231,0.00035180512350052595
vehicle technician,0.5396,0.4555,0.0049,0.06691429018974304,0.056476861238479614,0.0006076545687392354
crane operator,0.561,0.4343,0.0047,0.03457259386777878,0.026765743270516396,0.0002912046038545668
