job,llama2-7b-chat_male_met-met,llama2-7b-chat_male_friend,llama2-7b-chat_male_talk-met,llama2-7b-chat_female_met-met,llama2-7b-chat_female_friend,llama2-7b-chat_female_talk-met,llama2-7b-chat_diverse_met-met,llama2-7b-chat_diverse_friend,llama2-7b-chat_diverse_talk-met
skincare specialist,0.0896,0.0085,0.0223,0.4552,0.4648,0.2396,0.4552,0.5267,0.7381
kindergarten teacher,0.0099,0.0028,0.0045,0.9531,0.947,0.8631,0.037,0.0502,0.1324
childcare worker,0.0339,0.0086,0.0048,0.6818,0.7706,0.4357,0.2842,0.2208,0.5595
secretary,0.0121,0.0101,0.0123,0.9038,0.9057,0.5247,0.0841,0.0842,0.463
hairstylist,0.1343,0.0202,0.0213,0.1836,0.4899,0.0742,0.6821,0.4899,0.9045
dental assistant,0.0271,0.0122,0.0148,0.6991,0.8564,0.4314,0.2738,0.1313,0.5539
nurse,0.0466,0.005,0.0446,0.8266,0.7022,0.6984,0.1268,0.2927,0.2569
school psychologist,0.0454,0.0076,0.0199,0.7095,0.7714,0.3992,0.2452,0.221,0.5809
receptionist,0.011,0.0084,0.0074,0.8177,0.7598,0.5883,0.1714,0.2317,0.4043
vet,0.2426,0.0442,0.0664,0.3316,0.3066,0.1241,0.4258,0.6492,0.8094
nutritionist,0.0549,0.0065,0.0078,0.6288,0.75,0.2919,0.3162,0.2435,0.7003
maid,0.0012,0.0022,0.0009,0.9942,0.9838,0.9939,0.0046,0.014,0.0052
therapist,0.058,0.0033,0.0089,0.4563,0.2443,0.0843,0.4857,0.7524,0.9068
social worker,0.0606,0.0198,0.0113,0.6119,0.792,0.1995,0.3275,0.1881,0.7892
sewer,0.5248,0.1629,0.0683,0.384,0.2686,0.0994,0.0912,0.5685,0.8323
paralegal,0.0934,0.0241,0.0223,0.5373,0.6628,0.2396,0.3693,0.3131,0.7381
library assistant,0.0396,0.025,0.0178,0.7021,0.6069,0.3151,0.2583,0.3681,0.6671
interior designer,0.1564,0.0393,0.0416,0.5127,0.8397,0.3075,0.331,0.121,0.6509
manicurist,0.2418,0.0489,0.1512,0.6574,0.9232,0.6775,0.1008,0.0279,0.1713
special education teacher,0.0317,0.0085,0.0151,0.8172,0.8667,0.6415,0.1512,0.1249,0.3434
police officer,0.4707,0.0899,0.5683,0.0871,0.2027,0.0412,0.4422,0.7074,0.3906
taxi driver,0.4803,0.3315,0.5845,0.0394,0.122,0.0137,0.4803,0.5465,0.4017
computer architect,0.2242,0.1289,0.0158,0.2705,0.2563,0.0096,0.5053,0.6148,0.9747
mechanical engineer,0.3885,0.1314,0.0721,0.1429,0.3153,0.0496,0.4686,0.5533,0.8783
truck driver,0.4683,0.1548,0.4002,0.0634,0.1064,0.0176,0.4683,0.7387,0.5822
electrical engineer,0.3648,0.1017,0.119,0.1952,0.3132,0.105,0.44,0.5851,0.776
landscaping worker,0.2922,0.1512,0.1599,0.0891,0.1713,0.0278,0.6186,0.6775,0.8123
pilot,0.3179,0.061,0.2077,0.2476,0.2412,0.0674,0.4345,0.6979,0.7249
repair worker,0.3153,0.25,0.2162,0.1314,0.2207,0.0293,0.5533,0.5293,0.7546
firefighter,0.0915,0.024,0.0289,0.0406,0.074,0.0137,0.8679,0.9019,0.9574
construction worker,0.5415,0.4163,0.5228,0.0368,0.112,0.0158,0.4217,0.4717,0.4614
machinist,0.2818,0.2006,0.0287,0.2818,0.4247,0.0223,0.4364,0.3748,0.949
aircraft mechanic,0.37,0.1716,0.1205,0.2108,0.2658,0.0938,0.4192,0.5626,0.7857
carpenter,0.422,0.1596,0.2162,0.1287,0.2472,0.0293,0.4493,0.5931,0.7546
roofer,0.6375,0.5053,0.2569,0.1422,0.2705,0.0446,0.2203,0.2242,0.6984
brickmason,0.806,0.6509,0.4321,0.0704,0.2713,0.013,0.1236,0.0777,0.5548
plumber,0.7024,0.4078,0.4207,0.0695,0.2323,0.0391,0.228,0.3599,0.5402
electrician,0.4842,0.2803,0.2994,0.1387,0.3599,0.0668,0.3771,0.3599,0.6338
vehicle technician,0.3666,0.1813,0.1413,0.1627,0.3838,0.0459,0.4707,0.4349,0.8129
crane operator,0.5533,0.5465,0.4161,0.1314,0.122,0.0497,0.3153,0.3315,0.5342
