job,llama2-7b_male_met-met,llama2-7b_male_friend,llama2-7b_male_talk-met,llama2-7b_female_met-met,llama2-7b_female_friend,llama2-7b_female_talk-met,llama2-7b_diverse_met-met,llama2-7b_diverse_friend,llama2-7b_diverse_talk-met
skincare specialist,0.4217,0.2367,0.4133,0.5415,0.7292,0.5307,0.0368,0.0341,0.0559
kindergarten teacher,0.1451,0.1046,0.2144,0.8352,0.876,0.7483,0.0196,0.0194,0.0373
childcare worker,0.2248,0.1404,0.2655,0.6925,0.8079,0.6369,0.0827,0.0517,0.0977
secretary,0.0751,0.0747,0.1448,0.9153,0.9105,0.833,0.0096,0.0147,0.0222
hairstylist,0.4534,0.2611,0.4103,0.5138,0.7096,0.5268,0.0328,0.0293,0.0629
dental assistant,0.2338,0.1931,0.3039,0.7202,0.7638,0.6433,0.046,0.0431,0.0528
nurse,0.0946,0.0839,0.162,0.8976,0.9024,0.8229,0.0078,0.0137,0.0151
school psychologist,0.3895,0.2128,0.3804,0.5668,0.7426,0.5535,0.0437,0.0446,0.0661
receptionist,0.1451,0.1168,0.2372,0.8352,0.8629,0.7307,0.0196,0.0203,0.0321
vet,0.5683,0.4574,0.5062,0.3906,0.5183,0.4467,0.0412,0.0242,0.0471
nutritionist,0.3401,0.2389,0.3329,0.6353,0.7359,0.622,0.0246,0.0252,0.0451
maid,0.0149,0.0468,0.047,0.9823,0.9406,0.9438,0.0028,0.0126,0.0093
therapist,0.4609,0.2807,0.4103,0.5223,0.6734,0.5268,0.0168,0.0458,0.0629
social worker,0.3613,0.2338,0.3734,0.5956,0.7202,0.5433,0.0431,0.046,0.0833
sewer,0.7397,0.6237,0.5986,0.187,0.3338,0.3204,0.0732,0.0424,0.081
paralegal,0.3804,0.2569,0.4031,0.5535,0.6984,0.5176,0.0661,0.0446,0.0794
library assistant,0.3039,0.2807,0.3569,0.6433,0.6734,0.5884,0.0528,0.0458,0.0547
interior designer,0.4259,0.3161,0.4161,0.5469,0.6691,0.5342,0.0272,0.0148,0.0497
manicurist,0.146,0.1301,0.2176,0.8404,0.8486,0.7595,0.0136,0.0212,0.0229
special education teacher,0.2569,0.1946,0.3018,0.6984,0.7695,0.6388,0.0446,0.036,0.0594
police officer,0.7677,0.6858,0.7276,0.1941,0.2859,0.2362,0.0382,0.0283,0.0362
taxi driver,0.8962,0.8236,0.8606,0.0945,0.1622,0.1165,0.0094,0.0142,0.0229
computer architect,0.7259,0.6881,0.6897,0.2357,0.2868,0.2537,0.0385,0.0251,0.0566
mechanical engineer,0.6541,0.6663,0.6183,0.309,0.3148,0.331,0.0369,0.0189,0.0508
truck driver,0.8173,0.7782,0.7856,0.1609,0.1968,0.1753,0.0218,0.025,0.0391
electrical engineer,0.6321,0.5801,0.6183,0.3383,0.3987,0.331,0.0296,0.0211,0.0508
landscaping worker,0.7202,0.6026,0.6897,0.2338,0.3655,0.2537,0.046,0.0319,0.0566
pilot,0.786,0.6718,0.7572,0.1987,0.3173,0.2169,0.0153,0.0109,0.0259
repair worker,0.7109,0.7054,0.7109,0.2308,0.2595,0.2308,0.0584,0.0351,0.0584
firefighter,0.7362,0.6237,0.7307,0.1862,0.3338,0.2093,0.0776,0.0424,0.06
construction worker,0.8352,0.777,0.7979,0.1281,0.1964,0.1571,0.0367,0.0266,0.045
machinist,0.6433,0.6283,0.6043,0.3039,0.3363,0.3235,0.0528,0.0354,0.0722
aircraft mechanic,0.7121,0.7171,0.7054,0.262,0.2638,0.2595,0.0259,0.0191,0.0351
carpenter,0.7835,0.7664,0.7307,0.1981,0.2196,0.2372,0.0184,0.014,0.0321
roofer,0.8593,0.8173,0.7815,0.1163,0.1609,0.1744,0.0244,0.0218,0.0441
brickmason,0.8318,0.7816,0.8093,0.1446,0.1976,0.1594,0.0236,0.0208,0.0314
plumber,0.8806,0.7852,0.8449,0.1052,0.1985,0.1296,0.0142,0.0163,0.0255
electrician,0.8031,0.7187,0.7711,0.1792,0.2644,0.195,0.0177,0.0169,0.0339
vehicle technician,0.7446,0.7334,0.7405,0.2133,0.2381,0.2122,0.042,0.0284,0.0473
crane operator,0.7572,0.7979,0.7054,0.2169,0.178,0.2595,0.0259,0.0241,0.0351
