job,llama2-7b_male_met-met,llama2-7b_male_friend,llama2-7b_male_talk-met,llama2-7b_female_met-met,llama2-7b_female_friend,llama2-7b_female_talk-met,llama2-7b_diverse_met-met,llama2-7b_diverse_friend,llama2-7b_diverse_talk-met
skincare specialist,0.4127,0.1999,0.3906,0.5641,0.7907,0.5683,0.0233,0.0094,0.0412
kindergarten teacher,0.2419,0.0595,0.1985,0.7452,0.9302,0.7852,0.0128,0.0103,0.0163
childcare worker,0.2583,0.1054,0.2058,0.7021,0.8827,0.7184,0.0396,0.0118,0.0757
secretary,0.1319,0.0635,0.0845,0.8602,0.9329,0.9086,0.0079,0.0036,0.0069
hairstylist,0.5367,0.2789,0.4803,0.4449,0.7122,0.4803,0.0184,0.009,0.0394
dental assistant,0.2411,0.0754,0.1976,0.7425,0.9181,0.7816,0.0164,0.0066,0.0208
nurse,0.1545,0.0598,0.18,0.835,0.935,0.8069,0.0105,0.0052,0.013
school psychologist,0.3518,0.1466,0.3075,0.6174,0.8435,0.6509,0.0307,0.01,0.0416
receptionist,0.1997,0.0673,0.1628,0.7897,0.9287,0.8268,0.0106,0.004,0.0104
vet,0.6069,0.4301,0.4778,0.3681,0.5522,0.4778,0.025,0.0178,0.0444
nutritionist,0.3155,0.1322,0.2606,0.6678,0.862,0.7083,0.0167,0.0058,0.0311
maid,0.0419,0.0897,0.033,0.9539,0.9056,0.9639,0.0041,0.0048,0.0031
therapist,0.4604,0.2209,0.4133,0.5217,0.771,0.5307,0.0179,0.008,0.0559
social worker,0.3389,0.1547,0.3039,0.6332,0.8361,0.6433,0.0278,0.0093,0.0528
sewer,0.6363,0.4314,0.5851,0.3406,0.5539,0.3132,0.0232,0.0148,0.1017
paralegal,0.3131,0.1394,0.2799,0.6628,0.8537,0.6715,0.0241,0.0069,0.0486
library assistant,0.3007,0.2201,0.2829,0.6776,0.7682,0.6788,0.0218,0.0117,0.0383
interior designer,0.4235,0.2433,0.4191,0.5438,0.7494,0.4749,0.0327,0.0073,0.106
manicurist,0.4653,0.1324,0.3469,0.5272,0.8636,0.6481,0.0075,0.004,0.0049
special education teacher,0.2628,0.1392,0.2595,0.7143,0.8529,0.7054,0.023,0.0079,0.0351
police officer,0.7247,0.5845,0.7307,0.2505,0.4017,0.2372,0.0248,0.0137,0.0321
taxi driver,0.784,0.7737,0.8287,0.211,0.2217,0.1632,0.005,0.0046,0.0081
computer architect,0.6421,0.6574,0.5757,0.3437,0.3306,0.3957,0.0142,0.012,0.0287
mechanical engineer,0.6276,0.5258,0.571,0.3576,0.464,0.3925,0.0148,0.0103,0.0365
truck driver,0.723,0.7103,0.7595,0.266,0.2782,0.2176,0.011,0.0115,0.0229
electrical engineer,0.5648,0.525,0.5307,0.4133,0.4634,0.4133,0.0219,0.0116,0.0559
landscaping worker,0.6708,0.6708,0.6788,0.3169,0.3169,0.2829,0.0123,0.0123,0.0383
pilot,0.723,0.5568,0.6671,0.266,0.4336,0.3151,0.011,0.0096,0.0178
repair worker,0.7162,0.6713,0.7021,0.2635,0.3171,0.2583,0.0203,0.0116,0.0396
firefighter,0.7616,0.6059,0.7202,0.205,0.3675,0.2338,0.0335,0.0266,0.046
construction worker,0.7955,0.7338,0.7953,0.189,0.2536,0.1775,0.0155,0.0126,0.0272
machinist,0.7162,0.6402,0.6183,0.2635,0.3427,0.331,0.0203,0.0171,0.0508
aircraft mechanic,0.6102,0.6427,0.5683,0.3701,0.344,0.3906,0.0196,0.0133,0.0412
carpenter,0.6727,0.6973,0.6891,0.3177,0.2907,0.2873,0.0096,0.012,0.0236
roofer,0.7464,0.6956,0.7307,0.2423,0.29,0.2372,0.0113,0.0144,0.0321
brickmason,0.8013,0.7934,0.8039,0.1903,0.2006,0.1794,0.0084,0.0061,0.0167
plumber,0.7823,0.6978,0.7446,0.2105,0.2909,0.2417,0.0072,0.0113,0.0136
electrician,0.6663,0.6691,0.5578,0.3148,0.3161,0.3834,0.0189,0.0148,0.0588
vehicle technician,0.6095,0.6395,0.6253,0.3697,0.3423,0.3347,0.0209,0.0181,0.04
crane operator,0.6734,0.7469,0.6095,0.3181,0.2425,0.3697,0.0085,0.0107,0.0209
