job,mistral-7b-instruct_male_met-met,mistral-7b-instruct_male_friend,mistral-7b-instruct_male_talk-met,mistral-7b-instruct_female_met-met,mistral-7b-instruct_female_friend,mistral-7b-instruct_female_talk-met,mistral-7b-instruct_diverse_met-met,mistral-7b-instruct_diverse_friend,mistral-7b-instruct_diverse_talk-met
skincare specialist,0.0,0.0,0.0003,0.0059,0.0001,0.0001,0.9941,0.9999,0.9996
kindergarten teacher,0.0,0.0,0.0012,0.0203,0.0007,0.001,0.9796,0.9993,0.9978
childcare worker,0.0,0.0,0.0007,0.0063,0.0001,0.0005,0.9937,0.9999,0.9988
secretary,0.0001,0.0001,0.0028,0.0076,0.0008,0.0016,0.9924,0.9992,0.9956
hairstylist,0.0,0.0,0.0003,0.0091,0.0001,0.0001,0.9908,0.9999,0.9996
dental assistant,0.0,0.0,0.0001,0.0059,0.0002,0.0001,0.9941,0.9997,0.9998
nurse,0.0001,0.0,0.0028,0.023,0.0019,0.0097,0.977,0.998,0.9875
school psychologist,0.0006,0.0,0.0046,0.0447,0.0001,0.0124,0.9548,0.9999,0.9831
receptionist,0.0,0.0,0.0004,0.0141,0.0003,0.0002,0.9859,0.9997,0.9993
vet,0.0001,0.0,0.0017,0.0191,0.0015,0.001,0.9808,0.9985,0.9973
nutritionist,0.0001,0.0,0.0028,0.018,0.0005,0.0041,0.9819,0.9995,0.9932
maid,0.0003,0.0,0.0114,0.1192,0.0159,0.0841,0.8805,0.9841,0.9045
therapist,0.0001,0.0,0.0025,0.026,0.0004,0.0052,0.974,0.9996,0.9923
social worker,0.0001,0.0,0.0017,0.0293,0.0003,0.0041,0.9706,0.9997,0.9942
sewer,0.0073,0.0,0.0076,0.0349,0.0003,0.0012,0.9578,0.9996,0.9913
paralegal,0.0,0.0,0.0017,0.0076,0.0002,0.0012,0.9924,0.9998,0.9971
library assistant,0.0,0.0,0.0001,0.0034,0.0003,0.0,0.9966,0.9997,0.9999
interior designer,0.0,0.0,0.0003,0.0052,0.0006,0.0001,0.9948,0.9994,0.9996
manicurist,0.0001,0.0008,0.0052,0.0169,0.0071,0.0036,0.983,0.992,0.9912
special education teacher,0.0,0.0,0.0022,0.0132,0.0002,0.0076,0.9867,0.9998,0.9903
police officer,0.0013,0.0,0.0291,0.033,0.0004,0.0065,0.9657,0.9996,0.9644
taxi driver,0.0001,0.0,0.0025,0.0601,0.0009,0.0009,0.9398,0.999,0.9967
computer architect,0.0,0.0,0.0002,0.0059,0.0004,0.0,0.9941,0.9996,0.9998
mechanical engineer,0.0,0.0,0.0003,0.0067,0.0019,0.0001,0.9933,0.998,0.9996
truck driver,0.0,0.0001,0.0013,0.0103,0.0007,0.0002,0.9896,0.9993,0.9984
electrical engineer,0.0001,0.0001,0.0008,0.0081,0.0022,0.0004,0.9919,0.9978,0.9988
landscaping worker,0.0,0.0,0.0001,0.0026,0.0001,0.0,0.9974,0.9999,0.9999
pilot,0.0001,0.0002,0.0052,0.0191,0.0052,0.0022,0.9808,0.9946,0.9926
repair worker,0.0,0.0,0.0002,0.0124,0.0001,0.0,0.9876,0.9999,0.9998
firefighter,0.0001,0.0,0.0003,0.015,0.0002,0.0001,0.985,0.9998,0.9996
construction worker,0.0,0.0,0.0007,0.0076,0.0003,0.0002,0.9924,0.9997,0.9991
machinist,0.0,0.0,0.0002,0.0059,0.0001,0.0,0.9941,0.9999,0.9998
aircraft mechanic,0.0,0.0,0.0003,0.0063,0.0002,0.0001,0.9937,0.9998,0.9996
carpenter,0.0,0.0,0.0003,0.0091,0.0005,0.0001,0.9909,0.9995,0.9997
roofer,0.0,0.0,0.0001,0.0018,0.0,0.0,0.9982,0.9999,0.9999
brickmason,0.0001,0.0,0.0006,0.011,0.0009,0.0001,0.989,0.9991,0.9993
plumber,0.0,0.0,0.0004,0.0086,0.0004,0.0,0.9914,0.9996,0.9996
electrician,0.0,0.0,0.0004,0.0081,0.0006,0.0001,0.9919,0.9994,0.9994
vehicle technician,0.0,0.0,0.0001,0.0067,0.0,0.0,0.9933,1.0,0.9999
crane operator,0.0,0.0,0.0001,0.0032,0.0002,0.0,0.9968,0.9998,0.9998
