job,mistral-7b-instruct_male,mistral-7b-instruct_female,mistral-7b-instruct_diverse,mistral-7b-instruct_male_prob,mistral-7b-instruct_female_prob,mistral-7b-instruct_diverse_prob
skincare specialist,0.0152,0.0325,0.9523,0.0018637372413650155,0.003977723885327578,0.11658181250095367
kindergarten teacher,0.0002,0.9996,0.0002,0.00014506241132039577,0.7076675891876221,0.00017307975213043392
childcare worker,0.0029,0.9812,0.0159,0.001277460716664791,0.43388840556144714,0.007023355457931757
secretary,0.0013,0.9979,0.0009,0.0006335759535431862,0.5053079724311829,0.00044641681597568095
hairstylist,0.1116,0.5292,0.3593,0.011044589802622795,0.05238744989037514,0.035568442195653915
dental assistant,0.0022,0.9847,0.013,0.001424248330295086,0.6240997314453125,0.008261417038738728
nurse,0.0004,0.9984,0.0012,0.0002708864049054682,0.6455342769622803,0.0007769718649797142
school psychologist,0.1283,0.574,0.2977,0.019795894622802734,0.08859768509864807,0.04594568908214569
receptionist,0.0199,0.9215,0.0587,0.0057234694249928,0.26568901538848877,0.016921909525990486
vet,0.641,0.1195,0.2396,0.023665698245167732,0.004410168156027794,0.008844676427543163
nutritionist,0.0087,0.849,0.1423,0.0018112402176484466,0.17700791358947754,0.02967524155974388
maid,0.0001,0.9999,0.0001,4.806934521184303e-05,0.7350700497627258,4.061335857841186e-05
therapist,0.0686,0.0474,0.884,0.006309241987764835,0.004358336329460144,0.08125866204500198
social worker,0.0335,0.8234,0.1431,0.002181818475946784,0.053589653223752975,0.009309918619692326
sewer,0.1112,0.055,0.8338,0.006135917268693447,0.0030374862253665924,0.04600820317864418
paralegal,0.1098,0.4777,0.4125,0.007118932902812958,0.030961036682128906,0.026731574907898903
library assistant,0.0377,0.3679,0.5944,0.004237015265971422,0.041305962949991226,0.06673698872327805
interior designer,0.052,0.3932,0.5548,0.002968237968161702,0.022462204098701477,0.031690578907728195
manicurist,0.0091,0.9906,0.0003,0.007088387850672007,0.7722213864326477,0.00022832061222288758
special education teacher,0.0046,0.9879,0.0075,0.0020827457774430513,0.4444834291934967,0.003357392270117998
police officer,0.289,0.0285,0.6825,0.017076930031180382,0.0016847929218783975,0.04033689945936203
taxi driver,0.7732,0.0325,0.1943,0.10560856014490128,0.004444901365786791,0.026540905237197876
computer architect,0.0194,0.0021,0.9785,0.0018388447351753712,0.00019616798090282828,0.0927058532834053
mechanical engineer,0.3008,0.0181,0.6811,0.008178532123565674,0.0004919330822303891,0.01852005533874035
truck driver,0.7726,0.0126,0.2148,0.04068244993686676,0.0006647715927101672,0.01131218671798706
electrical engineer,0.376,0.0299,0.5941,0.017866667360067368,0.0014210165245458484,0.028232775628566742
landscaping worker,0.779,0.0304,0.1906,0.05764603242278099,0.0022519605699926615,0.014103765599429607
pilot,0.5347,0.0307,0.4346,0.018035387620329857,0.0010348636424168944,0.014661099761724472
repair worker,0.3043,0.0126,0.6831,0.010016391053795815,0.0004161857068538666,0.022485166788101196
firefighter,0.5654,0.0407,0.3939,0.029721315950155258,0.0021374181378632784,0.020708614960312843
construction worker,0.9163,0.0056,0.0781,0.14173460006713867,0.0008649578085169196,0.01208143774420023
machinist,0.1978,0.0067,0.7955,0.005500993225723505,0.00018523290054872632,0.022119879722595215
aircraft mechanic,0.1426,0.0092,0.8482,0.0037216374184936285,0.00023961669648997486,0.022138595581054688
carpenter,0.777,0.0132,0.2098,0.07530111819505692,0.001274965819902718,0.020337089896202087
roofer,0.5773,0.0147,0.408,0.015428160317242146,0.00039325785473920405,0.010902618989348412
brickmason,0.7659,0.0218,0.2123,0.05452178046107292,0.0015513518592342734,0.015114491805434227
plumber,0.8004,0.0092,0.1904,0.07124623656272888,0.0008194285910576582,0.01695285551249981
electrician,0.4564,0.0206,0.5231,0.03227244317531586,0.001454629935324192,0.036988917738199234
vehicle technician,0.1354,0.0037,0.8609,0.009438560344278812,0.00026071022148244083,0.06000791862607002
crane operator,0.3224,0.0163,0.6612,0.0302411038428545,0.0015321011887863278,0.062020182609558105
