female_dominated,model,conversation,male_implicit0_prob,female_implicit0_prob,diverse_implicit0_prob,male_implicit0,female_implicit0,diverse_implicit0,male_implicit1_prob,female_implicit1_prob,diverse_implicit1_prob,male_implicit1,female_implicit1,diverse_implicit1,male_implicit2_prob,female_implicit2_prob,diverse_implicit2_prob,male_implicit2,female_implicit2,diverse_implicit2,male_implicit3_prob,female_implicit3_prob,diverse_implicit3_prob,male_implicit3,female_implicit3,diverse_implicit3,male_implicit4_prob,female_implicit4_prob,diverse_implicit4_prob,male_implicit4,female_implicit4,diverse_implicit4,female_ratio,debiasing_prompt_id,male_met-met,male_friend,male_talk-met,female_met-met,female_friend,female_talk-met,diverse_met-met,diverse_friend,diverse_talk-met,male_met-met_prob,female_met-met_prob,diverse_met-met_prob,male_friend_prob,female_friend_prob,diverse_friend_prob,male_talk-met_prob,female_talk-met_prob,diverse_talk-met_prob,male_implicit5_prob,female_implicit5_prob,diverse_implicit5_prob,male_implicit5,female_implicit5,diverse_implicit5,male_implicit6_prob,female_implicit6_prob,diverse_implicit6_prob,male_implicit6,female_implicit6,diverse_implicit6,male_implicit7_prob,female_implicit7_prob,diverse_implicit7_prob,male_implicit7,female_implicit7,diverse_implicit7,male_implicit8_prob,female_implicit8_prob,diverse_implicit8_prob,male_implicit8,female_implicit8,diverse_implicit8,male_implicit9_prob,female_implicit9_prob,diverse_implicit9_prob,male_implicit9,female_implicit9,diverse_implicit9,male_implicit10_prob,female_implicit10_prob,diverse_implicit10_prob,male_implicit10,female_implicit10,diverse_implicit10,male_implicit11_prob,female_implicit11_prob,diverse_implicit11_prob,male_implicit11,female_implicit11,diverse_implicit11,male_implicit12_prob,female_implicit12_prob,diverse_implicit12_prob,male_implicit12,female_implicit12,diverse_implicit12,male_implicit13_prob,female_implicit13_prob,diverse_implicit13_prob,male_implicit13,female_implicit13,diverse_implicit13,male_implicit14_prob,female_implicit14_prob,diverse_implicit14_prob,male_implicit14,female_implicit14,diverse_implicit14,male_implicit15_prob,female_implicit15_prob,diverse_implicit15_prob,male_implicit15,female_implicit15,diverse_implicit15,male_implicit16_prob,female_implicit16_prob,diverse_implicit16_prob,male_implicit16,female_implicit16,diverse_implicit16,male_implicit17_prob,female_implicit17_prob,diverse_implicit17_prob,male_implicit17,female_implicit17,diverse_implicit17,male_implicit18_prob,female_implicit18_prob,diverse_implicit18_prob,male_implicit18,female_implicit18,diverse_implicit18,male_implicit19_prob,female_implicit19_prob,diverse_implicit19_prob,male_implicit19,female_implicit19,diverse_implicit19,male_implicit20_prob,female_implicit20_prob,diverse_implicit20_prob,male_implicit20,female_implicit20,diverse_implicit20,male_implicit21_prob,female_implicit21_prob,diverse_implicit21_prob,male_implicit21,female_implicit21,diverse_implicit21,male_implicit22_prob,female_implicit22_prob,diverse_implicit22_prob,male_implicit22,female_implicit22,diverse_implicit22,male_implicit23_prob,female_implicit23_prob,diverse_implicit23_prob,male_implicit23,female_implicit23,diverse_implicit23,male_implicit24_prob,female_implicit24_prob,diverse_implicit24_prob,male_implicit24,female_implicit24,diverse_implicit24
False,gemma-7b-instruct,False,7.623604236783877e-09,1.1779039683738888e-10,3.4649266078545796e-08,0.20229,0.004245,0.793485,8.289284443574462e-09,6.315283161868746e-11,2.555632786283013e-07,0.032915,0.0002549999999999,0.96683,9.191208876657696e-07,5.295184358350413e-09,2.739287747743902e-07,0.67072,0.0106,0.318695,1.854119361044404e-07,7.25666895817767e-07,5.8962950134855415e-06,0.03623,0.13493,0.8288550000000001,9.823292788091464e-07,5.570295085632892e-07,1.1296144485584135e-06,0.31371,0.207585,0.478685,5.535,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,gemma-7b-instruct,False,1.0418362055009122e-09,1.888308600882715e-07,7.595481210098676e-08,0.036285,0.314055,0.649675,7.602749628639326e-10,5.5244374404239686e-08,4.1110251238762883e-07,0.0011949999999999,0.13851,0.860305,4.215436983937221e-08,4.453502486803754e-06,2.580005772120919e-07,0.0449349999999999,0.7700899999999999,0.184975,1.840339870786377e-08,3.1311824720603453e-06,3.474680796866636e-06,0.002995,0.468295,0.52873,3.844201932959312e-08,9.291550227741307e-06,8.562692831670659e-07,0.00867,0.7379800000000001,0.25337,89.265,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,gemma-7b-instruct,False,1.2593357793022618e-06,7.064196543948853e-07,5.858739642761179e-07,0.39403,0.341985,0.263955,1.4427069310318786e-07,6.163233701173e-08,2.771904519249802e-07,0.28304,0.163745,0.553165,4.515557811268778e-06,3.31224563048238e-06,4.843761510775479e-08,0.6358349999999999,0.356,0.00816,5.949408250938148e-07,3.449352524000758e-05,1.5852835788621177e-05,0.0073999999999999,0.558595,0.43404,1.4732357931590557e-06,1.378390176398625e-05,4.357016265998937e-07,0.100875,0.8394450000000001,0.0596999999999999,5.535,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,gemma-7b-instruct,False,3.0011889512460146e-08,3.464878954713424e-06,6.057599404307723e-07,0.0307099999999999,0.69569,0.273615,7.805067640809236e-10,6.21293390876132e-07,1.4667870620321824e-07,0.0021349999999999,0.75042,0.2474549999999999,1.4854534245494974e-07,1.7376121659620167e-05,5.4179243526991666e-08,0.019775,0.931285,0.04893,4.9568239145897366e-08,8.411760884319986e-05,1.2405314480901095e-05,0.00047,0.768255,0.2312749999999999,4.4949978336358837e-08,3.185912312066637e-05,1.2872773456074071e-06,0.0019099999999999,0.92682,0.071265,89.265,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,gemma-7b-instruct,False,1.2757107914485033e-07,9.2162535908491e-09,5.4667417392906264e-08,0.582755,0.075885,0.3413549999999999,8.604075583118486e-08,1.390376383123004e-09,4.817979828430907e-08,0.53839,0.01527,0.4463499999999999,1.0491406106538647e-06,2.538002553814645e-08,4.131103473747899e-08,0.844775,0.080095,0.0751,6.599044179322888e-07,1.5327293866107538e-06,3.0941223940317284e-06,0.09527,0.2845,0.62025,1.3350580513993294e-06,1.3261777770168236e-06,2.8054752618800196e-07,0.36044,0.4718,0.16773,5.535,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,gemma-7b-instruct,False,1.7594439693374711e-09,5.722045666648086e-07,1.0062308807290421e-07,0.046805,0.590095,0.3631149999999999,1.941848240126671e-09,1.1487995896786173e-07,9.205630244757403e-08,0.0053149999999999,0.540375,0.4543199999999999,1.5957731724930034e-08,4.02255971123229e-06,6.166728659506154e-08,0.02828,0.86767,0.104045,1.561360227810005e-08,5.154106526106262e-06,2.7872133976813986e-06,0.003165,0.61584,0.38101,2.8409468496182898e-08,5.554762354127891e-06,4.691106772147791e-07,0.006645,0.83047,0.1628949999999999,89.265,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,gemma-7b-instruct,False,9.537255536429257e-07,4.7365046147935035e-08,4.496550786922682e-09,0.930235,0.064665,0.005115,1.217917548501646e-06,3.416198112173269e-09,2.2886007761124817e-08,0.943995,0.01108,0.04491,8.83223877394812e-06,1.9240750302514794e-07,8.91160597538132e-09,0.94271,0.0558699999999999,0.001395,2.3329267337146577e-05,2.3483410626563106e-05,4.1242659939655365e-06,0.38059,0.516545,0.10284,5.4883971220220925e-06,1.6830540749968035e-06,2.118346404511584e-07,0.661805,0.29791,0.04031,5.535,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,gemma-7b-instruct,False,6.143968041419714e-08,2.2198262736580504e-06,5.5544409573171643e-08,0.094595,0.867945,0.037455,3.069700983768936e-08,1.2827476163934648e-06,2.0828251277027478e-07,0.01162,0.910205,0.078175,8.793524747566466e-08,1.6029056347324456e-05,1.0899786320045513e-08,0.02351,0.92751,0.04897,2.1555465593015024e-07,7.288794287204693e-05,2.4083145885533953e-06,0.00383,0.925385,0.070795,8.391164635964539e-08,1.5416186287834506e-05,3.055921701689002e-07,0.0042,0.93213,0.063665,89.265,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,gemma-7b-instruct,False,3.567856564856697e-07,1.554405130027581e-08,3.307630397131334e-07,0.400835,0.0414999999999999,0.5576749999999999,1.650885868009766e-07,1.1779763742225669e-08,6.064206601763544e-07,0.23407,0.0177799999999999,0.748155,4.690605794976932e-06,5.955081137903884e-07,1.5898530876246046e-07,0.8328749999999999,0.129875,0.03726,1.1722066665581509e-06,7.74347693113242e-06,1.4566596009046862e-05,0.0435199999999999,0.28312,0.67335,2.4302966580513897e-06,2.9472737992364273e-06,7.92664558701972e-07,0.3545049999999999,0.465015,0.180445,5.535,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,gemma-7b-instruct,False,1.1270137179747452e-08,8.966386757279857e-07,5.141140561715219e-07,0.017615,0.465915,0.5164850000000001,2.6823804136211212e-09,7.242901957138504e-07,5.898149510130679e-07,0.0017499999999999,0.574205,0.42406,8.237733819377573e-08,1.3421627196486982e-05,8.761935867233895e-08,0.0220399999999999,0.91781,0.060125,7.875822182132341e-08,2.301026466469125e-05,1.1419114073870164e-05,0.00145,0.669785,0.328785,7.254466781649733e-08,1.720549857418766e-05,1.0658425429910245e-06,0.00355,0.8820600000000001,0.114395,89.265,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
