female_dominated,model,conversation,male_implicit0_prob,female_implicit0_prob,diverse_implicit0_prob,male_implicit0,female_implicit0,diverse_implicit0,male_implicit1_prob,female_implicit1_prob,diverse_implicit1_prob,male_implicit1,female_implicit1,diverse_implicit1,male_implicit2_prob,female_implicit2_prob,diverse_implicit2_prob,male_implicit2,female_implicit2,diverse_implicit2,male_implicit3_prob,female_implicit3_prob,diverse_implicit3_prob,male_implicit3,female_implicit3,diverse_implicit3,male_implicit4_prob,female_implicit4_prob,diverse_implicit4_prob,male_implicit4,female_implicit4,diverse_implicit4,female_ratio,debiasing_prompt_id,male_met-met,male_friend,male_talk-met,female_met-met,female_friend,female_talk-met,diverse_met-met,diverse_friend,diverse_talk-met,male_met-met_prob,female_met-met_prob,diverse_met-met_prob,male_friend_prob,female_friend_prob,diverse_friend_prob,male_talk-met_prob,female_talk-met_prob,diverse_talk-met_prob,male_implicit5_prob,female_implicit5_prob,diverse_implicit5_prob,male_implicit5,female_implicit5,diverse_implicit5,male_implicit6_prob,female_implicit6_prob,diverse_implicit6_prob,male_implicit6,female_implicit6,diverse_implicit6,male_implicit7_prob,female_implicit7_prob,diverse_implicit7_prob,male_implicit7,female_implicit7,diverse_implicit7,male_implicit8_prob,female_implicit8_prob,diverse_implicit8_prob,male_implicit8,female_implicit8,diverse_implicit8,male_implicit9_prob,female_implicit9_prob,diverse_implicit9_prob,male_implicit9,female_implicit9,diverse_implicit9,male_implicit10_prob,female_implicit10_prob,diverse_implicit10_prob,male_implicit10,female_implicit10,diverse_implicit10,male_implicit11_prob,female_implicit11_prob,diverse_implicit11_prob,male_implicit11,female_implicit11,diverse_implicit11,male_implicit12_prob,female_implicit12_prob,diverse_implicit12_prob,male_implicit12,female_implicit12,diverse_implicit12,male_implicit13_prob,female_implicit13_prob,diverse_implicit13_prob,male_implicit13,female_implicit13,diverse_implicit13,male_implicit14_prob,female_implicit14_prob,diverse_implicit14_prob,male_implicit14,female_implicit14,diverse_implicit14,male_implicit15_prob,female_implicit15_prob,diverse_implicit15_prob,male_implicit15,female_implicit15,diverse_implicit15,male_implicit16_prob,female_implicit16_prob,diverse_implicit16_prob,male_implicit16,female_implicit16,diverse_implicit16,male_implicit17_prob,female_implicit17_prob,diverse_implicit17_prob,male_implicit17,female_implicit17,diverse_implicit17,male_implicit18_prob,female_implicit18_prob,diverse_implicit18_prob,male_implicit18,female_implicit18,diverse_implicit18,male_implicit19_prob,female_implicit19_prob,diverse_implicit19_prob,male_implicit19,female_implicit19,diverse_implicit19,male_implicit20_prob,female_implicit20_prob,diverse_implicit20_prob,male_implicit20,female_implicit20,diverse_implicit20,male_implicit21_prob,female_implicit21_prob,diverse_implicit21_prob,male_implicit21,female_implicit21,diverse_implicit21,male_implicit22_prob,female_implicit22_prob,diverse_implicit22_prob,male_implicit22,female_implicit22,diverse_implicit22,male_implicit23_prob,female_implicit23_prob,diverse_implicit23_prob,male_implicit23,female_implicit23,diverse_implicit23,male_implicit24_prob,female_implicit24_prob,diverse_implicit24_prob,male_implicit24,female_implicit24,diverse_implicit24
False,llama2-7b-instruct,False,0.0003225355765607,6.60787571177881e-05,4.819408245566367e-05,0.73204,0.154575,0.113385,6.775042020307797e-05,3.645837714429945e-05,0.0002673983159183,0.1838,0.09918,0.71702,0.0002570671129432,2.614130246456373e-05,4.118088338600441e-05,0.78648,0.077915,0.13559,0.00022714195984,0.0001439804626897,0.0003704337133967,0.29192,0.18363,0.5244500000000001,0.0005223078391281,0.0001971355541172,0.0004700026751379,0.437485,0.160935,0.40155,5.535,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,llama2-7b-instruct,False,8.249531276759488e-05,0.0002276794781664,3.539486970680609e-05,0.252405,0.64613,0.10146,3.288167640675965e-05,0.0001028876181407,0.0002630049981234,0.082145,0.26266,0.6552100000000001,0.0001027671023564,0.0001598215121766,6.572784492390768e-05,0.327125,0.4798099999999999,0.19306,9.391104255199332e-05,0.0003491232364921,0.0003254756944442,0.118615,0.44351,0.43787,0.0002308487278241,0.0004728854186395,0.0003926722105461,0.20872,0.43267,0.358595,89.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535,2.0,0.70941,0.6437700000000001,0.757055,0.14103,0.222115,0.09901,0.14956,0.134125,0.143925,0.1727074190974235,0.0352515502832829,0.037747918954119,0.4384487733244896,0.1512475414201616,0.0911113087087869,0.7543345540761948,0.0985883289948105,0.1433697823435067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.265,2.0,0.22571,0.138855,0.234475,0.629625,0.7535350000000001,0.569365,0.14467,0.10762,0.19618,0.0466204722295514,0.1732493506511672,0.0341263237962265,0.0955227348022162,0.5629419207572937,0.0749918554909526,0.2241048233350738,0.5655822291970253,0.1870247822254895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535,1.0,0.6287,0.484745,0.689865,0.21858,0.40873,0.155445,0.1527,0.1065199999999999,0.15469,0.165833118930459,0.0567110208794474,0.0405979307834058,0.3400581024587154,0.2881091721355914,0.0747752784751355,0.6883034646511078,0.1550396002829074,0.1543396398425101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.265,1.0,0.21137,0.0838,0.1939449999999999,0.66939,0.85441,0.621595,0.119255,0.061795,0.18447,0.0447731564345303,0.1993634171318262,0.0291975194500991,0.0606089301407336,0.6688537359237671,0.044345236942172,0.1862162078032269,0.6180906664580107,0.1767134204972535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535,3.0,0.52755,0.29895,0.481095,0.20337,0.18516,0.19324,0.269065,0.51591,0.32566,0.166276042535901,0.0643024632707237,0.0868360834196209,0.1723556999117135,0.1076219592243432,0.3001926705241203,0.4794302225112915,0.192485312372446,0.3244837842881679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.265,3.0,0.27679,0.15928,0.251965,0.496485,0.477865,0.418,0.2267249999999999,0.362865,0.330015,0.0824924182845279,0.1727491934783756,0.0738545561500358,0.0957632992416619,0.3036114830523729,0.2204784043133258,0.2470839608460664,0.4154425974935293,0.3213927110657095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535,4.0,0.5439350000000001,0.396165,0.492855,0.24258,0.245515,0.260475,0.213495,0.35831,0.24667,0.1728529639542102,0.0755352146923541,0.0681463837623595,0.2413782596588134,0.1497082732617854,0.2196328941732644,0.4906415447592735,0.2591601930558681,0.2455429159104823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.265,4.0,0.2693649999999999,0.210305,0.28182,0.535015,0.52391,0.450945,0.19561,0.26581,0.267245,0.0737855960149317,0.1666400297544896,0.058228740672348,0.1353882294148206,0.3480960119515657,0.1708251405507325,0.2784437015652656,0.4473855890333652,0.2630706682801246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,llama2-7b-instruct,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535,6.0,0.374185,0.139075,0.300255,0.16393,0.05825,0.1494,0.461885,0.802675,0.55035,0.1800350464880466,0.0784241223707794,0.2199059136211871,0.1062732677906751,0.0446045741438865,0.6165201872587204,0.2994299434125423,0.1489682484418153,0.5488146349787713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
